task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
31	0f/0bc877	39077	sigmod (samples_3.txt)	CACHED	0	2019-08-31 01:27:36.948	12m	11m 59s	99.3%	948.6 MB	21.1 GB	67.5 MB	9.7 MB
63	ab/99b35c	2442505	lasso (scones_gs, samples_5.txt)	CACHED	0	2019-08-28 18:20:30.158	1m 9s	52.1s	27.0%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
72	6d/4f40e4	2443143	lasso (scones_gi, samples_4.txt)	CACHED	0	2019-08-31 01:27:36.979	4m 8s	3m 41s	15.2%	6.8 GB	8.8 GB	154.5 MB	2.7 KB
34	52/031c6d	45302	heinz (samples_3.txt)	CACHED	0	2019-08-31 13:33:05.728	20.1s	19.9s	103.9%	802.7 MB	21 GB	59 MB	1.6 MB
60	e6/c60e8d	2442434	lasso (scones_gi, samples_1.txt)	CACHED	0	2019-08-27 11:57:41.694	4m 6s	3m 43s	15.4%	6.8 GB	8.8 GB	154.5 MB	2.7 KB
36	d9/5113ea	35609	heinz (samples_4.txt)	CACHED	0	2019-09-01 15:08:25.732	16s	15.8s	114.5%	796.3 MB	21 GB	59 MB	1.6 MB
50	3e/ff1e2a	18726	lean (samples_1.txt)	CACHED	0	2019-09-02 17:58:09.903	6m 32s	6m 31s	649.4%	1.9 GB	25.9 GB	109.4 MB	27.8 MB
38	55/9f82b2	37521	heinz (samples_1.txt)	CACHED	0	2019-09-01 15:08:41.766	16.1s	15.9s	113.7%	795.1 MB	21 GB	59 MB	1.6 MB
32	59/b32169	14225	lean (samples_3.txt)	CACHED	0	2019-08-31 01:39:36.634	6m 30s	6m 30s	650.3%	2 GB	26 GB	109.4 MB	27.8 MB
70	3a/891521	2442781	lasso (scones_gs, samples_1.txt)	CACHED	0	2019-08-29 17:48:10.488	1m 8s	46.3s	29.0%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
44	e1/9ecde6	14488	dmgwas (samples_4.txt)	CACHED	0	2019-09-01 15:20:28.914	13h 55m 7s	13h 55m 7s	100.2%	5.2 GB	25.3 GB	52.8 MB	22.3 MB
82	dc/1c4987	2443152	lasso (sigmod, samples_2.txt)	CACHED	0	2019-09-01 15:01:37.719	1m 35s	1m 27s	20.9%	6.5 GB	8.5 GB	154.5 MB	2.7 KB
33	6c/18da75	42320	dmgwas (samples_3.txt)	CACHED	0	2019-08-31 01:46:06.962	11h 46m 59s	11h 46m 58s	100.2%	4.9 GB	25 GB	52.8 MB	20 MB
83	ad/c20c5c	2443153	lasso (heinz, samples_5.txt)	CACHED	0	2019-09-01 15:01:53.026	1m 10s	41.2s	31.5%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
58	31/ee102c	2441007	lasso (all_snps, samples_1.txt)	CACHED	0	2019-08-22 14:02:20.024	1h 24m 24s	1h 23m 56s	13.6%	13.5 GB	13.6 GB	154.5 MB	2.8 KB
49	bb/4ad4f8	7332	lean (samples_2.txt)	CACHED	0	2019-09-01 15:01:52.892	6m 33s	6m 33s	647.5%	1.9 GB	25.9 GB	109.4 MB	27.8 MB
37	a4/df94ea	3445	lean (samples_4.txt)	CACHED	0	2019-09-01 01:24:13.355	6m 30s	6m 30s	649.5%	1.9 GB	25.9 GB	109.4 MB	27.8 MB
93	39/29cdf6	2443333	lasso (sigmod, samples_5.txt)	CACHED	0	2019-09-02 17:51:35.225	1m 37s	1m 21s	21.5%	6.5 GB	8.5 GB	154.5 MB	2.8 KB
68	a3/8d29d8	2442779	lasso (scones_gi, samples_5.txt)	CACHED	0	2019-08-29 17:32:49.435	1m 9s	39.4s	32.3%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
40	01/7b0a08	2441001	lasso (all_snps, samples_5.txt)	CACHED	0	2019-08-22 10:20:54.134	1h 25m 25s	1h 25m 9s	13.7%	13.5 GB	13.6 GB	154.5 MB	2.8 KB
62	5c/2b548d	2442504	lasso (scones_gi, samples_3.txt)	CACHED	0	2019-08-28 18:06:32.039	3m 7s	3m 3s	15.8%	6.8 GB	8.7 GB	154.5 MB	2.7 KB
88	d6/1be96c	2443157	lasso (sigmod, samples_1.txt)	CACHED	0	2019-09-01 15:20:28.973	1m 39s	1m 18s	21.8%	6.5 GB	8.5 GB	154.5 MB	2.7 KB
