seed	genes
FOXP1	MYC
FOXP1	HSPA1A
FOXP1	FOXP1
FOXP1	VARS
FOXP1	PSMA5
FOXP1	HSPA1L
FOXP2	CLIC1
FOXP2	RPIA
FOXP2	AURKA
FOXP2	HSPA1A
FOXP2	FOXP2
FOXP2	ARPC2
FOXP2	PSMA5
FOXP2	PPP1R12A
FOXP2	HSPA1L
FOXP4	CLIC1
FOXP4	DDX39A
FOXP4	MYC
FOXP4	HSPA1A
FOXP4	FOXP4
FOXP4	VARS
FOXP4	PSMA5
FOXP4	HSPA1L
CLOCK	CLIC1
CLOCK	CSNK2B
CLOCK	NFKBIA
CLOCK	MYC
CLOCK	HSPA1A
CLOCK	CLOCK
CLOCK	PDS5A
CLOCK	HSPA1L
TRPC2	CCDC85B
TRPC2	TCEANC
TRPC2	HOMER1
TRPC2	GPANK1
TRPC2	TRPC2
TRPC2	NUP54
TRPC2	C2CD6
SPC25	SPC25
SPC25	OFD1
SPC25	ARPC2
SPC25	RAB6A
SPC25	PPP1R12A
SPC25	KNL1
SPC25	MYO18A
FEZ2	TTF2
FEZ2	CLIC1
FEZ2	DRAP1
FEZ2	MYC
FEZ2	HSPA1A
FEZ2	FEZ2
FEZ2	VARS
FEZ2	HSPA1L
FEZ2	CLASP2
FEZ2	ARMH3
STARD13	CLIC1
STARD13	MYC
STARD13	HSPA1A
STARD13	STARD13
STARD13	VARS
STARD13	PSMA5
STARD13	HSPA1L
FEN1	CLIC1
FEN1	MYC
FEN1	HSPA1A
FEN1	FEN1
FEN1	VARS
FEN1	HSPA1L
LPAR2	CLIC1
LPAR2	DACH1
LPAR2	MYC
LPAR2	HSPA1A
LPAR2	LPAR2
LPAR2	HBB
LPAR2	VARS
LPAR2	HSPA1L
KLK13	CLIC1
KLK13	HSPA1A
KLK13	KLK13
KLK13	BCAP31
KLK13	VARS
KLK13	PSMA5
KLK13	SERPINF2
KLK13	PPP6C
KLK13	HSPA1L
KLK13	TMEM237
COMMD1	CLIC1
COMMD1	CSNK2B
COMMD1	NFKBIA
COMMD1	MYC
COMMD1	HSPA1A
COMMD1	COMMD1
COMMD1	PDS5A
COMMD1	HSPA1L
SSR4	CLIC1
SSR4	MYC
SSR4	HSPA1A
SSR4	SSR4
SSR4	VARS
SSR4	PSMA5
SSR4	HSPA1L
CCNL2	CCNL2
CCNL2	GAP43
CCNL2	MLF1
CCNL2	PLEC
CCNL2	IRF2BP1
CCNL2	PPP1R12A
CCNL2	PLCD1
CCNL2	KNL1
CCNL2	MYO18A
CCNL2	ALMS1
HIPK2	CLIC1
HIPK2	MYC
HIPK2	HSPA1A
HIPK2	HIPK2
HIPK2	VARS
HIPK2	PSMA5
HIPK2	HSPA1L
HIPK2	DNAJB7
TXNRD1	CLIC1
TXNRD1	RPIA
TXNRD1	AURKA
TXNRD1	HSPA1A
TXNRD1	TXNRD1
TXNRD1	PSMA5
TXNRD1	PNPO
TXNRD1	HSPA1L
EHBP1	KIF1BP
EHBP1	EHBP1
EHBP1	OFD1
EHBP1	RAB6A
EHBP1	AIP
EHBP1	SCARB2
EHBP1	PNKD
PLD2	LSM2
PLD2	CLIC1
PLD2	MYC
PLD2	CDK5RAP3
PLD2	HSPA1A
PLD2	PLD2
PLD2	CRMP1
PLD2	RPL10A
PLD2	HSPA1L
PLD2	CACNG5
ELANE	CLIC1
ELANE	MYC
ELANE	HSPA1A
ELANE	ELANE
ELANE	CA8
ELANE	PSMA5
ELANE	SYVN1
ELANE	SERPINA1
ELANE	HSPA1L
ELANE	GDPD1
MAP3K7	CSNK2B
MAP3K7	NFKBIA
MAP3K7	HSPA1A
MAP3K7	MAP3K7
MAP3K7	PDS5A
MAP3K7	BST2
MAP3K7	HSPA1L
TAB3	CLIC1
TAB3	RABGEF1
TAB3	MYC
TAB3	HSPA1A
TAB3	TAB3
TAB3	TRAPPC2
TAB3	PSMA5
TAB3	RBCK1
TAB3	HSPA1L
TAB3	VPS45
KLHL20	CLIC1
KLHL20	MYC
KLHL20	HSPA1A
KLHL20	KLHL20
KLHL20	NUFIP2
KLHL20	MAP3K13
KLHL20	CHRNA9
KLHL20	ANKRD10
DNAJC1	CLIC1
DNAJC1	ABHD16A
DNAJC1	MYC
DNAJC1	HSPA1A
DNAJC1	CDH5
DNAJC1	DNAJC1
DNAJC1	HSPA1L
DNAJC1	GPRC5C
ATF3	RELA
ATF3	HSPA1A
ATF3	ATF3
ATF3	HSPA1L
ATF3	PNMT
ING1	RELA
ING1	HSPA1A
ING1	ING1
ING1	BRMS1
ING1	BRMS1L
ING1	HSPA1L
NECAP1	TERT
NECAP1	HSPA1A
NECAP1	NECAP1
NECAP1	SMG6
NECAP1	HSPA1L
NECAP1	SPATA1
NECAP1	DNAJB7
NECAP2	CLIC1
NECAP2	RUNDC3A
NECAP2	MYC
NECAP2	HSPA1A
NECAP2	FEN1
NECAP2	NECAP2
NECAP2	RHEB
NECAP2	RAP1A
NECAP2	HSPA1L
AP1G1	CLIC1
AP1G1	MYC
AP1G1	HSPA1A
AP1G1	AP1G1
AP1G1	VARS
AP1G1	PSMA5
AP1G1	HSPA1L
GGA1	SORT1
GGA1	BAG6
GGA1	HSPA1A
GGA1	GGA1
GGA1	DPT
GGA1	USP1
GGA1	HSPA1L
GGA1	BACE2
GRM3	CLIC1
GRM3	MYC
GRM3	ERBB2
GRM3	HSPA1A
GRM3	GRM3
GRM3	GRB7
GRM3	CHN1
GRM3	PICK1
GRM3	LY6G6F
EXOC5	CLIC1
EXOC5	MYC
EXOC5	HSPA1A
EXOC5	EXOC5
EXOC5	EXOC3
EXOC5	VARS
EXOC5	PNKD
EXOC5	HSPA1L
OTUB1	CSNK2B
OTUB1	NFKBIA
OTUB1	HSPA1A
OTUB1	OTUB1
OTUB1	PDS5A
OTUB1	PNKD
OTUB1	HSPA1L
USP8	CLIC1
USP8	MYC
USP8	HSPA1A
USP8	USP8
USP8	VPS26A
USP8	HSPA1L
USP8	MAGEL2
USP8	FAM102B
ABCC8	CLIC1
ABCC8	MYC
ABCC8	HSPA1A
ABCC8	FEN1
ABCC8	ABCC8
ABCC8	RHEB
ABCC8	RAP1A
ABCC8	RAPGEF4
ABCC8	HSPA1L
RIMS2	CLIC1
RIMS2	MYC
RIMS2	HSPA1A
RIMS2	RIMS2
RIMS2	VARS
RIMS2	HSPA1L
NOL8	CLIC1
NOL8	NOL8
NOL8	PSMA5
NOL8	IQCB1
NOL8	C6orf203
NOL8	MRPL16
NOL8	MRPS30
NIP7	POP4
NIP7	NIP7
NIP7	NUFIP2
NIP7	RBM4B
NIP7	CHRNA9
NIP7	ANKRD10
NIP7	MIRLET7B
SSRP1	CLIC1
SSRP1	CSNK2B
SSRP1	NFKBIA
SSRP1	MYC
SSRP1	HSPA1A
SSRP1	SSRP1
SSRP1	PDS5A
SSRP1	HSPA1L
NEK9	CLIC1
NEK9	MYC
NEK9	HSPA1A
NEK9	NEK9
NEK9	VARS
NEK9	PSMA5
NEK9	HSPA1L
ZHX2	RELA
ZHX2	CSNK2B
ZHX2	NFKBIA
ZHX2	HSPA1A
ZHX2	ZHX2
ZHX2	HSPA1L
ZHX2	PNMT
ZHX3	CLIC1
ZHX3	EWSR1
ZHX3	MYC
ZHX3	HSPA1A
ZHX3	ZHX3
ZHX3	VARS
ZHX3	PSMA5
ZHX3	HSPA1L
ZHX3	FAM168A
ROCK1	CLIC1
ROCK1	MYC
ROCK1	HSPA1A
ROCK1	ROCK1
ROCK1	VARS
ROCK1	ANKFY1
ROCK1	HSPA1L
SRCIN1	CLIC1
SRCIN1	MYC
SRCIN1	HSPA1A
SRCIN1	SRCIN1
SRCIN1	CKAP5
SRCIN1	VARS
SRCIN1	HSPA1L
RNF111	CSNK2B
RNF111	NFKBIA
RNF111	PML
RNF111	APC2
RNF111	RNF111
RNF111	AXIN2
RNF111	PDS5A
RNF111	KNL1
GNAI1	CLIC1
GNAI1	MYC
GNAI1	HSPA1A
GNAI1	GNAI1
GNAI1	VARS
GNAI1	PSMA5
GNAI1	IQCB1
GNAI1	HSPA1L
SREBF1	EP300
SREBF1	CSNK2B
SREBF1	NFKBIA
SREBF1	FEN1
SREBF1	SREBF1
SREBF1	PDS5A
SREBF1	CYP1B1
CBX1	CLIC1
CBX1	MYC
CBX1	HSPA1A
CBX1	CBX1
CBX1	VARS
CBX1	HSPA1L
CBX7	CSNK2B
CBX7	NFKBIA
CBX7	CBX7
CBX7	NUFIP2
CBX7	PDS5A
CBX7	CHRNA9
CBX7	CDC42SE1
NUP155	CLIC1
NUP155	MYC
NUP155	HSPA1A
NUP155	NUP155
NUP155	VARS
NUP155	PSMA5
NUP155	HSPA1L
KAT2B	CLIC1
KAT2B	MYC
KAT2B	HSPA1A
KAT2B	KAT2B
KAT2B	VARS
KAT2B	PSMA5
KAT2B	HSPA1L
NPAS2	CLIC1
NPAS2	CSNK2B
NPAS2	NFKBIA
NPAS2	MYC
NPAS2	HSPA1A
NPAS2	NPAS2
NPAS2	PDS5A
NPAS2	HSPA1L
DLAT	CLIC1
DLAT	MYC
DLAT	HSPA1A
DLAT	DLAT
DLAT	VARS
DLAT	HSPA1L
DLAT	DNAJB7
RYR1	BNIPL
RYR1	FKBP1A
RYR1	NME2
RYR1	HSPA1A
RYR1	RYR1
RYR1	RMND5A
RYR1	HSPA1L
RYR1	EPPK1
PHB	CLIC1
PHB	MYC
PHB	HSPA1A
PHB	PHB
PHB	VARS
PHB	HSPA1L
PHB	LONRF3
CCL5	RELA
CCL5	CSNK2B
CCL5	NFKBIA
CCL5	HSPA1A
CCL5	CCL5
CCL5	ACKR2
CCL5	HSPA1L
CCL5	PNMT
AKAP13	CLIC1
AKAP13	MYC
AKAP13	HSPA1A
AKAP13	AKAP13
AKAP13	VARS
AKAP13	PSMA5
AKAP13	HSPA1L
MED1	CLIC1
MED1	MYC
MED1	HSPA1A
MED1	MED1
MED1	VARS
MED1	PSMA5
MED1	HSPA1L
RGS16	EGFR
RGS16	HSPA1A
RGS16	RGS16
RGS16	VARS
RGS16	HSPA1B
RGS16	HSPA1L
PFDN1	FEN1
PFDN1	PFDN1
PFDN1	ARPC2
PFDN1	PPP1R12A
PFDN1	MYO18A
PFDN2	CLIC1
PFDN2	MYC
PFDN2	HSPA1A
PFDN2	PFDN2
PFDN2	DDB2
PFDN2	PSMA5
PFDN2	HSPA1L
PFDN5	CLIC1
PFDN5	MYC
PFDN5	HSPA1A
PFDN5	PFDN5
PFDN5	IKZF3
PFDN5	ARPC2
PFDN5	PPP1R12A
PFDN5	HSPA1L
PFDN5	MYO18A
E2F7	E2F7
E2F7	OFD1
E2F7	RAB6A
E2F7	PLEC
E2F7	PPP1R12A
E2F7	MYO18A
E2F7	C6orf141
E2F7	ALMS1
SCEL	SCEL
SCEL	GAP43
SCEL	OFD1
SCEL	RAB6A
SCEL	AIP
SCEL	RAB11B
SCEL	PLCD1
LMAN1	CLIC1
LMAN1	MYC
LMAN1	HSPA1A
LMAN1	LMAN1
LMAN1	VARS
LMAN1	HSPA1L
LMAN1	DNAJB7
CDH11	HYPK
CDH11	CLIC1
CDH11	MYC
CDH11	HSPA1A
CDH11	CDH11
CDH11	VARS
CDH11	HSPA1L
CDH11	LMNB2
CDH11	DNAJB7
DYRK1A	CLIC1
DYRK1A	DYRK1A
DYRK1A	PEA15
DYRK1A	PSMA5
DYRK1A	IQCB1
DYRK1A	CLN5
DYRK1A	LIPH
ZNF423	TTF2
ZNF423	CLIC1
ZNF423	MYC
ZNF423	HSPA1A
ZNF423	ZNF423
ZNF423	SMAD1
ZNF423	VARS
ZNF423	HSPA1L
ARIH1	CLIC1
ARIH1	DACH1
ARIH1	MYC
ARIH1	HSPA1A
ARIH1	ARIH1
ARIH1	VARS
ARIH1	PEF1
ARIH1	KIAA0930
ARIH1	HSPA1L
POLR2E	CSNK2B
POLR2E	NFKBIA
POLR2E	POLR2E
POLR2E	OFD1
POLR2E	RAB6A
POLR2E	PDS5A
ZFYVE16	CLIC1
ZFYVE16	MYC
ZFYVE16	HSPA1A
ZFYVE16	ZFYVE16
ZFYVE16	VARS
ZFYVE16	PSMA5
ZFYVE16	PTPN23
ZFYVE16	HSPA1L
EID2	NDN
EID2	CLIC1
EID2	MYC
EID2	HSPA1A
EID2	EID2
EID2	NEFL
EID2	VPS26A
EID2	MAGEL2
EID2	FAM102B
KLF5	RARA
KLF5	TRIB3
KLF5	CLIC1
KLF5	CSNK2B
KLF5	NFKBIA
KLF5	MYC
KLF5	HSPA1A
KLF5	KLF5
KLF5	PDS5A
RAD9B	CLIC1
RAD9B	MYC
RAD9B	RAD9A
RAD9B	HSPA1A
RAD9B	FEN1
RAD9B	RAD9B
RAD9B	VARS
RAD9B	HUS1B
RAD9B	PSMA5
RAD9B	HSPA1L
TIMELESS	CCDC85B
TIMELESS	TCEANC
TIMELESS	GPANK1
TIMELESS	TIMELESS
TIMELESS	NUP54
TIMELESS	PDSS2
TIMELESS	CSGALNACT1
TIMELESS	C2CD6
TIPIN	CLIC1
TIPIN	MYC
TIPIN	HSPA1A
TIPIN	MED9
TIPIN	TIPIN
TIPIN	METAP2
TIPIN	VARS
TIPIN	GFI1B
TIPIN	HSPA1L
TXNDC17	HSPA1A
TXNDC17	TNFRSF10B
TXNDC17	TXNDC17
TXNDC17	STX3
TXNDC17	DDR1
TXNDC17	RBX1
TXNDC17	FBXO31
TXNDC17	AVP
TXNDC17	HSPA1L
TXNDC17	MICA
SMARCA2	CLIC1
SMARCA2	MYC
SMARCA2	HSPA1A
SMARCA2	SMARCA2
SMARCA2	VARS
SMARCA2	PSMA5
SMARCA2	HSPA1L
TDRD7	HOOK2
TDRD7	TDRD7
TDRD7	SCARB2
TDRD7	PIMREG
TDRD7	PNKD
CKAP5	CLIC1
CKAP5	MYC
CKAP5	HSPA1A
CKAP5	CKAP5
CKAP5	VARS
CKAP5	HSPA1L
KIF5A	RELA
KIF5A	HSPA1A
KIF5A	KIF5A
KIF5A	NUFIP2
KIF5A	HSPA1L
KIF5A	TMEM268
KIF5A	CHRNA9
KIF5A	ANKRD10
ATP1B1	CSNK2B
ATP1B1	PAXIP1
ATP1B1	ATP1B1
ATP1B1	ARPC2
ATP1B1	PPP1R12A
ATP1B1	DDAH2
ATP1B1	AAMP
ATP1A1	CLIC1
ATP1A1	MYC
ATP1A1	ERBB2
ATP1A1	HSPA1A
ATP1A1	ATP1A1
ATP1A1	GRB7
ATP1A1	CHN1
ATP1A1	LY6G6F
MARK4	CLIC1
MARK4	MYC
MARK4	HSPA1A
MARK4	MARK4
MARK4	ARPC2
MARK4	PLEC
MARK4	PPP1R12A
MARK4	HSPA1L
MARK4	MYO18A
TRPM7	CLIC1
TRPM7	MYC
TRPM7	HSPA1A
TRPM7	TRPM7
TRPM7	VARS
TRPM7	SCYL1
TRPM7	HSPA1L
HSPB7	RELA
HSPB7	BPTF
HSPB7	CSNK2B
HSPB7	NFKBIA
HSPB7	TIMM13
HSPB7	HSPA1A
HSPB7	HSPB7
HSPB7	HSPA1L
HSPB7	PNMT
HSPB2	RELA
HSPB2	TCAP
HSPB2	HSPA1A
HSPB2	HSPB2
HSPB2	HSPA1L
HSPB2	PNMT
HSPB2	CMYA5
HSPB2	CYP1B1
NSMCE3	NGFR
NSMCE3	NDN
NSMCE3	TRIM37
NSMCE3	NSMCE3
NSMCE3	NEFL
NSMCE3	RASD1
NSMCE3	MAGEL2
NSMCE3	CDC20B
DCAF7	CLIC1
DCAF7	CSNK2B
DCAF7	NFKBIA
DCAF7	MYC
DCAF7	HSPA1A
DCAF7	DCAF7
DCAF7	PDS5A
DCAF7	HSPA1L
RAB3GAP1	CLIC1
RAB3GAP1	MYC
RAB3GAP1	HSPA1A
RAB3GAP1	RAB3GAP1
RAB3GAP1	VARS
RAB3GAP1	PSMA5
RAB3GAP1	HSPA1L
RPH3AL	UNC13B
RPH3AL	SORT1
RPH3AL	RPH3AL
RPH3AL	ARPC2
RPH3AL	SPTBN2
RPH3AL	PPP1R12A
RPH3AL	MYO18A
SKP2	ORC1
SKP2	CLIC1
SKP2	MYC
SKP2	HSPA1A
SKP2	SKP2
SKP2	OFD1
SKP2	RAB6A
SKP2	ALMS1
CNTNAP1	HSPA1A
CNTNAP1	CNTNAP1
CNTNAP1	HSPA1B
CNTNAP1	HSPA1L
CNTNAP1	DNAJB7
TRPC4AP	CLIC1
TRPC4AP	MYC
TRPC4AP	HSPA1A
TRPC4AP	TRPC4AP
TRPC4AP	VARS
TRPC4AP	PSMA5
TRPC4AP	HSPA1L
UBE2B	LSM2
UBE2B	CDK5RAP3
UBE2B	UBE2B
UBE2B	CRMP1
UBE2B	TRIM45
IKBKB	CLIC1
IKBKB	CSNK2B
IKBKB	NFKBIA
IKBKB	MYC
IKBKB	HSPA1A
IKBKB	IKBKB
IKBKB	MAP3K13
IKBKB	PDS5A
CHUK	CLIC1
CHUK	CSNK2B
CHUK	NFKBIA
CHUK	MYC
CHUK	HSPA1A
CHUK	CHUK
CHUK	PDS5A
CHUK	HSPA1L
FBL	CLIC1
FBL	MYC
FBL	HSPA1A
FBL	FBL
FBL	VARS
FBL	PSMA5
FBL	HSPA1L
NOTCH1	CLIC1
NOTCH1	CSNK2B
NOTCH1	NFKBIA
NOTCH1	MYC
NOTCH1	HSPA1A
NOTCH1	NOTCH1
NOTCH1	IKZF3
NOTCH1	PDS5A
PAN2	HSPA1A
PAN2	PAN2
PAN2	OFD1
PAN2	RAB6A
PAN2	PPP1R12A
PAN2	HSPA1L
RRM1	CLIC1
RRM1	MYC
RRM1	HSPA1A
RRM1	RRM1
RRM1	OFD1
RRM1	VARS
RRM1	RAB6A
RRM1	HSPA1L
TTN	RELA
TTN	TCAP
TTN	HSPA1A
TTN	TTN
TTN	HSPA1L
TTN	PNMT
ANKRD1	RELA
ANKRD1	TCAP
ANKRD1	CSNK2B
ANKRD1	NFKBIA
ANKRD1	HSPA1A
ANKRD1	TTN
ANKRD1	ANKRD1
ANKRD1	HSPA1L
ANKRD1	PNMT
DST	CLIC1
DST	MYC
DST	HSPA1A
DST	DST
DST	ARPC2
DST	PPP1R12A
DST	HSPA1L
DST	MYO18A
FHOD1	CLIC1
FHOD1	MYC
FHOD1	HSPA1A
FHOD1	FHOD1
FHOD1	VARS
FHOD1	PSMA5
FHOD1	HSPA1L
CDC5L	ORC1
CDC5L	HSPA1A
CDC5L	FEN1
CDC5L	CDC5L
CDC5L	KNL1
CDC5L	HSPA1L
CDC5L	TNFAIP2
PSENEN	CLIC1
PSENEN	CSNK2B
PSENEN	ATF4
PSENEN	NFKBIA
PSENEN	MYC
PSENEN	HSPA1A
PSENEN	PSENEN
PSENEN	APH1A
PSENEN	PDS5A
PSENEN	HSPA1L
PSENEN	APH1B
APH1A	CLIC1
APH1A	CSNK2B
APH1A	ATF4
APH1A	NFKBIA
APH1A	MYC
APH1A	HSPA1A
APH1A	APH1A
APH1A	PDS5A
CA9	CLIC1
CA9	MYC
CA9	HSPA1A
CA9	CA9
CA9	ARPC2
CA9	XPO5
CA9	PPP1R12A
CA9	HSPA1L
CA9	MYO18A
NOTCH2	TTF2
NOTCH2	CLIC1
NOTCH2	MYC
NOTCH2	HSPA1A
NOTCH2	NOTCH2
NOTCH2	SMAD1
NOTCH2	VARS
NOTCH2	HSPA1L
EPS8L1	CSNK2B
EPS8L1	HSPA1A
EPS8L1	EPS8L1
EPS8L1	VCP
EPS8L1	ARPC2
EPS8L1	PPP1R12A
EPS8L1	HSPA1L
EPS8L2	CLIC1
EPS8L2	MYC
EPS8L2	ERBB2
EPS8L2	HSPA1A
EPS8L2	EPS8L2
EPS8L2	GRB7
EPS8L2	CHN1
EPS8L2	TNS2
EPS8L2	LY6G6F
EPS8L3	CLIC1
EPS8L3	VASP
EPS8L3	MYC
EPS8L3	HSPA1A
EPS8L3	EPS8L3
EPS8L3	ABI1
EPS8L3	VARS
EPS8L3	PSMA5
EPS8L3	HSPA1L
EPS8L3	NHSL1
MRTFA	CSNK2B
MRTFA	ACTB
MRTFA	ERBB2
MRTFA	MRTFA
MRTFA	CHN1
MRTFA	ARPC2
MRTFA	PPP1R12A
MRTFA	MYO18A
MRTFB	TTF2
MRTFB	CLIC1
MRTFB	MYC
MRTFB	HSPA1A
MRTFB	MRTFB
MRTFB	SMAD1
MRTFB	VARS
MRTFB	HSPA1L
STK39	CSNK2B
STK39	NFKBIA
STK39	STK39
STK39	PDS5A
STK39	RAB11FIP1
STK39	RELT
STK39	PIP4K2A
SNRNP70	CLIC1
SNRNP70	MYC
SNRNP70	HSPA1A
SNRNP70	SNRNP70
SNRNP70	VARS
SNRNP70	PSMA5
SNRNP70	HSPA1L
BAG4	HSPA1A
BAG4	BAG4
BAG4	HSPA1B
BAG4	HSPA1L
BAG4	DNAJB7
APOBEC1	CLIC1
APOBEC1	MYC
APOBEC1	HSPA1A
APOBEC1	APOBEC1
APOBEC1	KPNA2
APOBEC1	VARS
APOBEC1	PSMA5
APOBEC1	HSPA1L
PSMC3	CLIC1
PSMC3	MYC
PSMC3	HSPA1A
PSMC3	PSMC3
PSMC3	VARS
PSMC3	PSMA5
PSMC3	HSPA1L
HCK	CLIC1
HCK	MYC
HCK	HSPA1A
HCK	HCK
HCK	VARS
HCK	HSPA1L
HCK	PNMT
RAPGEF1	CLIC1
RAPGEF1	MYC
RAPGEF1	HSPA1A
RAPGEF1	RAPGEF1
RAPGEF1	VARS
RAPGEF1	RPS15
RAPGEF1	HSPA1L
SETDB1	CLIC1
SETDB1	MYC
SETDB1	ERBB2
SETDB1	HSPA1A
SETDB1	SETDB1
SETDB1	GRB7
SETDB1	CHN1
SETDB1	LY6G6F
EGR2	CLIC1
EGR2	MYC
EGR2	HSPA1A
EGR2	FEN1
EGR2	EGR2
EGR2	KLF16
EGR2	FOXA3
EGR2	HSPA1L
EGR2	BPGM
EGR2	LMNB2
FSCN1	CLIC1
FSCN1	MYC
FSCN1	HSPA1A
FSCN1	FSCN1
FSCN1	VARS
FSCN1	PSMA5
FSCN1	HSPA1L
LDLRAP1	RAC2
LDLRAP1	CLIC1
LDLRAP1	DEF6
LDLRAP1	MYC
LDLRAP1	HSPA1A
LDLRAP1	LDLRAP1
LDLRAP1	MYCBP2
LDLRAP1	PSD4
LDLRAP1	HSPA1L
LDLRAP1	DCAF16
APBB2	SORT1
APBB2	BAG6
APBB2	HSPA1A
APBB2	APBB2
APBB2	DPT
APBB2	USP1
APBB2	HSPA1L
ZBTB33	RELA
ZBTB33	CSNK2B
ZBTB33	NFKBIA
ZBTB33	HSPA1A
ZBTB33	ZBTB33
ZBTB33	HSPA1L
ZBTB33	PNMT
EXOC2	CLIC1
EXOC2	MYC
EXOC2	HSPA1A
EXOC2	EXOC2
EXOC2	VARS
EXOC2	PSMA5
EXOC2	HSPA1L
EXOC3	CLIC1
EXOC3	MYC
EXOC3	HSPA1A
EXOC3	EXOC3
EXOC3	VARS
EXOC3	HSPA1L
ALG10B	CLIC1
ALG10B	MYC
ALG10B	HSPA1A
ALG10B	ALG10B
ALG10B	KCNH2
ALG10B	VARS
ALG10B	PSMA5
ALG10B	HSPA1L
ALG10B	DNAJB7
GIT1	TRIB3
GIT1	CLIC1
GIT1	CSNK2B
GIT1	NFKBIA
GIT1	MYC
GIT1	HSPA1A
GIT1	GIT1
GIT1	PDS5A
NRXN1	PDZD2
NRXN1	CLIC1
NRXN1	MYC
NRXN1	HSPA1A
NRXN1	NRXN1
NRXN1	VARS
NRXN1	HSPA1L
NRXN1	TULP1
RXFP4	YIPF3
RXFP4	RXFP4
RXFP4	CDS1
RXFP4	REEP6
RXFP4	PCNX3
RXFP4	SC5D
RXFP4	GPR89A
CEACAM1	CLIC1
CEACAM1	MYC
CEACAM1	HSPA1A
CEACAM1	CEACAM1
CEACAM1	ANXA2
CEACAM1	ARPC2
CEACAM1	PPP1R12A
CEACAM1	MYO18A
CEACAM1	CCDC32
IGF1	CCN3
IGF1	RELA
IGF1	CSNK2B
IGF1	NFKBIA
IGF1	HSPA1A
IGF1	IGF1
IGF1	HSPA1L
IGF1	PNMT
KEAP1	CLIC1
KEAP1	MYC
KEAP1	HSPA1A
KEAP1	KEAP1
KEAP1	RBX1
KEAP1	VARS
KEAP1	HSPA1L
KEAP1	DNAJB7
MAP7	RELA
MAP7	HSPA1A
MAP7	MAP7
MAP7	NUFIP2
MAP7	HSPA1L
MAP7	TMEM268
MAP7	CHRNA9
MAP7	ANKRD10
TCF12	CLIC1
TCF12	MYC
TCF12	HSPA1A
TCF12	TCF12
TCF12	VARS
TCF12	PSMA5
TCF12	HSPA1L
ARHGEF18	CLIC1
ARHGEF18	MYC
ARHGEF18	HSPA1A
ARHGEF18	MED9
ARHGEF18	ARHGEF18
ARHGEF18	GNB1
ARHGEF18	METAP2
ARHGEF18	VARS
ARHGEF18	HSPA1L
LHCGR	RELA
LHCGR	LSM2
LHCGR	GIPC1
LHCGR	MOB4
LHCGR	TIMM13
LHCGR	CDK5RAP3
LHCGR	HSPA1A
LHCGR	LHCGR
LHCGR	CRMP1
LHCGR	HSPA1L
MORF4L2	HSPA1A
MORF4L2	MORF4L2
MORF4L2	OFD1
MORF4L2	RBX1
MORF4L2	RAB6A
MORF4L2	FBXO31
MORF4L2	ZNF131
MORF4L2	HSPA1L
DNMBP	CLIC1
DNMBP	VASP
DNMBP	MYC
DNMBP	HSPA1A
DNMBP	DNMBP
DNMBP	VARS
DNMBP	PSMA5
DNMBP	HSPA1L
PHOX2A	CLIC1
PHOX2A	CSNK2B
PHOX2A	NFKBIA
PHOX2A	MYC
PHOX2A	HSPA1A
PHOX2A	JUN
PHOX2A	PHOX2A
PHOX2A	VARS
PHOX2A	PDS5A
SH3RF1	CLIC1
SH3RF1	MYC
SH3RF1	HSPA1A
SH3RF1	SIAH2
SH3RF1	SH3RF1
SH3RF1	ARPC2
SH3RF1	MAP3K11
SH3RF1	PLEC
SH3RF1	PPP1R12A
SH3RF1	MYO18A
CETN2	TTF2
CETN2	CLIC1
CETN2	MYC
CETN2	HSPA1A
CETN2	CETN2
CETN2	USP44
CETN2	HSPA1L
CTSB	CSNK2B
CTSB	BAG6
CTSB	HSPA1A
CTSB	CTSB
CTSB	DPT
CTSB	PDS5A
CTSB	HSPA1L
HSPA4	ERBB2
HSPA4	HSPA4
HSPA4	CHN1
HSPA4	OFD1
HSPA4	RAB6A
HSPA4	AIPL1
P4HA3	NDN
P4HA3	CLIC1
P4HA3	MYC
P4HA3	HSPA1A
P4HA3	P4HA3
P4HA3	NEFL
P4HA3	VPS26A
P4HA3	MAGEL2
P4HA3	FAM102B
PDIA2	RELA
PDIA2	NFKBIA
PDIA2	HSPA1A
PDIA2	PDIA2
PDIA2	COL2A1
PDIA2	HSPA1L
PDIA2	PNMT
PDIA2	MTTP
DYRK1B	RANBP9
DYRK1B	CLIC1
DYRK1B	MYC
DYRK1B	HSPA1A
DYRK1B	DYRK1B
DYRK1B	VARS
DYRK1B	PSMA5
DYRK1B	HSPA1L
DRD3	CLIC1
DRD3	RABGEF1
DRD3	PRKCB
DRD3	DRD3
DRD3	TRAPPC2
DRD3	SLC9A3
DRD3	PSMA5
DRD3	RBCK1
DRD3	VPS45
DRD2	EGFR
DRD2	HSPA1A
DRD2	DRD2
DRD2	VARS
DRD2	HSPA1B
DRD2	HSPA1L
DRD4	CSNK2B
DRD4	KLHL12
DRD4	BAG6
DRD4	HSPA1A
DRD4	DRD4
DRD4	DPT
DRD4	PEF1
DRD4	KIAA0930
DRD4	HSPA1L
CANX	HSPA1A
CANX	CANX
CANX	LNPEP
CANX	PTPRE
CANX	VARS
CANX	PPP6C
CANX	HSPA1L
CANX	TMEM258
CANX	ST13P4
CXCL1	CLIC1
CXCL1	MYC
CXCL1	HSPA1A
CXCL1	PTEN
