seed	genes
DOCK8	MRPL18
TRIP10	TRIP10
TRIP10	CSNK2B
TRIP10	BAG6
TRIP10	HSPA1A
TRIP10	DPT
TRIP10	HSPA1L
CDKN3	CDKN3
CDKN3	HSPA1A
CDKN3	ARPC2
CDKN3	PPP1R12A
CDKN3	RMND5A
CDKN3	HSPA1L
CDKN3	MYO18A
RBBP8	RBBP8
RBBP8	CLIC1
RBBP8	MYC
RBBP8	HSPA1A
RBBP8	SIAH2
RBBP8	ARPC2
RBBP8	PLEC
RBBP8	PPP1R12A
RBBP8	MYO18A
HAND2	HAND2
HAND2	CSNK2B
HAND2	NFKBIA
HAND2	VARS
HAND2	PDS5A
HAND2	HOXD13
HAND2	FOXI2
CLTC	CLTC
CLTC	HSPA1A
CLTC	OFD1
CLTC	RAB6A
CLTC	PPP1R12A
CLTC	HSPA1L
CLTC	MYO18A
IGFBP3	IGFBP3
IGFBP3	RXRA
IGFBP3	CLIC1
IGFBP3	CSNK2B
IGFBP3	NFKBIA
IGFBP3	MYC
IGFBP3	HSPA1A
IGFBP3	PDS5A
IGFBP3	HSPA1L
TXN	TXN
TXN	CLIC1
TXN	MYC
TXN	HSPA1A
TXN	VARS
TXN	PSMA5
TXN	HSPA1L
ATF2	ATF2
ATF2	CLIC1
ATF2	MYC
ATF2	HSPA1A
ATF2	VARS
ATF2	PSMA5
ATF2	HSPA1L
CCND3	CCND3
CCND3	CLIC1
CCND3	MYC
CCND3	HSPA1A
CCND3	RBX1
CCND3	VARS
CCND3	HSPA1L
CCND3	DNAJB7
RALBP1	RALBP1
RALBP1	CLIC1
RALBP1	TRAPPC2
RALBP1	PSMA5
RALBP1	VPS45
RALBP1	LSR
PPIB	PPIB
PPIB	CLIC1
PPIB	MYC
PPIB	HSPA1A
PPIB	VARS
PPIB	PSMA5
PPIB	HSPA1L
CSRP1	CSRP1
CSRP1	EGFR
CSRP1	HSPA1A
CSRP1	VARS
CSRP1	HSPA1B
CSRP1	HSPA1L
CSK	CSK
CSK	CLIC1
CSK	EHMT2
CSK	MYC
CSK	HSPA1A
CSK	VARS
CSK	TCP1
CSK	HSPA1L
CSK	TNS1
DCN	DCN
DCN	EGFR
DCN	HSPA1A
DCN	VARS
DCN	HSPA1B
DCN	HSPA1L
DCN	AAMP
SIM2	SIM2
SIM2	CLIC1
SIM2	MYC
SIM2	TIMM13
SIM2	HSPA1A
SIM2	VARS
SIM2	PSMA5
SIM2	MATR3
SIM2	HSPA1L
SIM1	SIM1
SIM1	HSPA1A
SIM1	HSP90AA1
SIM1	VARS
SIM1	AIPL1
SIM1	HSPA1B
SIM1	HSPA1L
PCNA	PCNA
PCNA	CLIC1
PCNA	MYC
PCNA	HSPA1A
PCNA	FEN1
PCNA	VARS
PCNA	HSPA1L
TOPBP1	TOPBP1
TOPBP1	CSNK2B
TOPBP1	NFKBIA
TOPBP1	PML
TOPBP1	PDS5A
TOPBP1	KNL1
TOPBP1	TNFAIP2
FLNA	FLNA
FLNA	CLIC1
FLNA	MYC
FLNA	HSPA1A
FLNA	ARPC2
FLNA	PPP1R12A
FLNA	HSPA1L
FLNA	MYO18A
LSM3	LSM3
LSM3	LSM2
LSM3	SH3GLB2
LSM3	CDK5RAP3
LSM3	CRMP1
LSM3	RPUSD2
LSM5	LSM5
LSM5	LSM2
LSM5	CLIC1
LSM5	MYC
LSM5	CDK5RAP3
LSM5	HSPA1A
LSM5	CRMP1
LSM5	RPL10A
LSM5	HSPA1L
CREBBP	CREBBP
CREBBP	CLIC1
