seed	Zm	Zn	zcount
MYOD1	7.903495684515281	7.554044524906776	0
B4GALT1	7.8992452534710775	7.55390449398445	0
CBLC	7.899063461880787	7.553726450381006	0
SNX16	7.903165837939799	7.553721190276752	0
CAPN10	7.898776368786431	7.553445276268601	0
CMTM6	7.902543660363672	7.553111295946056	0
LONP1	7.8983239957732465	7.553002229804024	0
CTNNA2	7.898173958713934	7.552855286050205	0
FRS3	7.8978836274995485	7.552570940577906	0
RGL2	7.901930466018651	7.552510207496403	0
USP7	7.897725698491073	7.55241626758279	0
WDR12	7.901830016046261	7.552411740642196	0
CLNS1A	7.897118805453714	7.5518218868245635	0
MOCS2	7.89610012175082	7.550824205265463	0
DHTKD1	7.900036915252881	7.550654039866386	0
MAST3	7.895774192649284	7.550504995825622	0
TUBB7P	7.898734125063	7.5493769698121405	0
CA9	7.898688339967706	7.549332088622073	0
HDHD3	7.894301332102913	7.54906250116112	0
GBA	7.893839823940333	7.548610507886002	0
TRMT61B	7.8937925182111615	7.548564177456351	0
ABCC8	7.897872609349792	7.54853246244085	0
GRN	7.893542559765846	7.548319372390044	0
MPHOSPH8	7.893492340942234	7.548270188925054	0
FYCO1	7.893394187171923	7.548174058785427	0
MCRIP2	7.89750697141887	7.548174043060734	0
ELOVL5	7.896370511737724	7.547060019760649	0
SF3B2	7.892152731652619	7.546958198283748	0
HPSE	7.892028448175843	7.546836477152324	0
IRS4	7.892028448175843	7.546836477152324	0
SLC25A48	7.8956072860311695	7.54631186192062	0
STAG2	7.894877952747489	7.5455969273875025	0
FOXH1	7.8882551327512695	7.54314095595662	0
CORO1B	7.888184106912105	7.543071394453129	0
MEIG1	7.890920649152463	7.541717750252134	0
KRT23	7.890767746474637	7.541567866231989	0
TMOD1	7.886476415869597	7.541398910779434	0
TRIB3	7.8439812263200155	7.5413726801107694	0
ORC1	7.826424216710917	7.54067661834686	0
LIG1	7.842493168558355	7.539909697901185	0
RGS1	7.888752142727218	7.539592055232606	0
MAP2	7.884248236200004	7.539216669362989	0
TNPO1	7.8882346628875295	7.539084791659334	0
SERPINB1	7.883540470744058	7.538523495867075	0
THADA	7.887246805729255	7.538116437119591	0
TGOLN2	7.887148105616652	7.538019685578832	0
NT5E	7.882794461296721	7.53779286685396	0
SLC4A2	7.886512619306103	7.537396745259363	0
PRKAB2	7.882296620172432	7.537305289691732	0
NCOR2	7.886386493522559	7.537273109494768	0
ZCCHC10	7.839695502827681	7.5371591761823415	0
NFIL3	7.88608752077591	7.536980039171745	0
CSRP2	7.885929440454654	7.5368250797270004	0
ZWINT	7.881723694933224	7.5367441764195	0
PEA15	7.839110783839108	7.536584310407687	0
TNF	7.881443792026635	7.53647004425517	0
SERPINE2	7.885255945050993	7.536164880703114	0
UGP2	7.884532646416509	7.535455861681056	0
CD2AP	7.884307644162153	7.535235301499219	0
PHF11	7.879315573647272	7.5343857032327355	0
EPS8	7.883439361200892	7.534384160481232	0
PROSER1	7.882960957099843	7.533915201199819	0
SCO1	7.882723876262582	7.533682800894648	0
LRP4	7.878481965266713	7.533569281308607	0
TADA2A	7.835994872867993	7.533520906261128	0
HNF4G	7.835700194965338	7.533231194033384	0
VIM	7.835613974991013	7.533146426968692	0
TRAC	7.881877583265588	7.53285321570743	0
CHAMP1	7.88133863853114	7.532324911006794	0
SFXN5	7.881180296639518	7.532169695155696	0
KLC1	7.876975684650975	7.532094055594402	0
COG7	7.880405816764456	7.531410505330856	0
SERP2	7.880308310934374	7.53131492449468	0
LILRB1	7.833248531954516	7.53082084447496	0
CLINT1	7.87961499553145	7.530635296764829	0
STAT5A	7.8795850339654505	7.530605926710453	0
FATE1	7.8794564874774276	7.530479918031767	0
PRPSAP2	7.87460952093007	7.52977667493596	0
STN1	7.874466912480795	7.529637006636948	0
MUL1	7.8744192966822615	7.529590372530617	0
ZNF558	7.878326923050078	7.529372653856987	0
AIDA	7.8776359665219475	7.528695338432205	0
EDA	7.830948781835712	7.528559847894728	0
MAGEB4	7.877383617619601	7.528447971489383	0
CNNM4	7.8304588282928735	7.528078150654767	0
FAM50A	7.87282673602511	7.528030645605691	0
CHERP	7.876700240990342	7.527778086318481	0
FXYD1	7.876512874329883	7.527594418715597	0
PLXDC1	7.876479071279619	7.527561283016872	0
NEFM	7.875960710501129	7.527053155896597	0
RPSAP8	7.875870975117778	7.526965192100297	0
OGA	7.871293461711245	7.526528982720893	0
DESI1	7.8287791164897795	7.526426744003446	0
SLC25A46	7.874996246825417	7.526107732997173	0
PEX19	7.870665692427147	7.525914156120316	0
NOX4	7.874734806665985	7.525851454280015	0
ZFP36L2	7.8705013692835735	7.52575322081762	0
ZXDC	7.827679248999025	7.525345410594668	0
CYP4V2	7.874050844373012	7.525180995007775	0
PSMD3	7.827140279574309	7.524815523449031	0
PIGQ	7.86932569756901	7.524601787859732	0
TLE3	7.873423073293232	7.524565617602314	0
RASSF1	7.869285111289453	7.524562038345186	0
TRIM62	7.873325433380233	7.5244699053303314	0
KANK1	7.873195679811147	7.524342713401195	0
TMEM192	7.873022510411851	7.524172962772221	0
TRIM44	7.868809009510344	7.524095752329299	0
MAPRE2	7.826147781557128	7.52383975020985	0
HNF1B	7.825692415823424	7.523392057933094	0
ACTN4	7.872209002521946	7.52337551543714	0
SERBP1	7.8680709653713565	7.523372924404225	0
SERPINA10	7.868049957957494	7.523352350099016	0
MRPL14	7.82523602767877	7.522943360474234	0
DDOST	7.8250889568189	7.522798767934158	0
DIS3	7.825076317640553	7.5227863417410745	0
HSPA1A	7.807909460388423	7.522450751792753	0
MYO1E	7.871033079558615	7.52222280795267	0
BANK1	7.871012008622856	7.52220215300663	0
TRIM68	7.870182473960707	7.521388995305399	0
DLST	7.865986553066447	7.521331486308906	0
PIP4K2B	7.869811204177147	7.521025055258633	0
LARS	7.865552057039835	7.52090594826209	0
TSGA10IP	7.865477057908728	7.52083249538379	0
IGF1R	7.8690322843283544	7.520261513115565	0
LMO7	7.86474582786274	7.52011634106595	0
CDC42BPB	7.864727193956801	7.520098091334187	0
PSMA7	7.822267766852669	7.520025118391247	0
IER3IP1	7.8645185002670095	7.519893700270293	0
GTF2E2	7.821714289268195	7.519480967565687	0
SFTA2	7.867963380495692	7.51921371195298	0
RAB30	7.863481738712717	7.518878313569826	0
GPRC5D	7.862739089850944	7.5181509758572735	0
SNX20	7.866841086743231	7.5181135749129036	0
SNRPD3	7.820176135568601	7.517968733594607	0
CDCA5	7.8622800030605635	7.517701354033063	0
NUDT5	7.8660397702347185	7.517328078272737	0
ESYT3	7.86603287902818	7.517321323114786	0
MTHFD2	7.819055146644861	7.516866634674238	0
DDAH1	7.861039395338068	7.5164863238492154	0
SPAG6	7.818280637768611	7.516105177198384	0
ABLIM1	7.864780841741074	7.5160940039819115	0
LRP2	7.864703354978663	7.51601804699003	0
CMBL	7.86037338141661	7.515834041098786	0
SAMD4A	7.8601460172154045	7.515611364452346	0
GSR	7.864183710530593	7.515508661542827	0
TRAPPC3L	7.817520359409337	7.515357710438284	0
ZBTB21	7.858812831115291	7.51430566457401	0
PI4K2A	7.862781389623557	7.514134025741353	0
ZNF491	7.892700181287025	7.514109331397638	0
MIB1	7.858452363599161	7.513952628796099	0
AGAP4	7.8621054585331125	7.513471439116857	0
METTL15	7.860997509598346	7.5123853636941105	0
RPS12	7.812895727784215	7.51081100938423	0
OGT	7.8591275654910655	7.510552336671747	0
OSBPL1A	7.854771824555371	7.510347971215828	0
POLR1C	7.812298841717407	7.510224181561152	0
AKAP2	7.8544426026949985	7.510025536903771	0
ATF5	7.858410378674452	7.509849308805932	0
CASP5	7.858314421478074	7.509755246029795	0
OSER1	7.854067616777812	7.509658282049849	0
USP24	7.853948371885161	7.509541495622348	0
IWS1	7.85800630621146	7.5094532136816055	0
BLK	7.857659667069428	7.5091134180097026	0
CRP	7.857573862221797	7.509029307151125	0
HEXB	7.8534205165093915	7.50902452301075	0
ASPDH	7.852955038662208	7.508568641893791	0
PSAP	7.852858517033006	7.508474110245512	0
CUL3	7.809847363925297	7.507814014100283	0
HARS	7.851544875876209	7.507187552353511	0
U2AF1	7.855484272402671	7.506980970738714	0
UHRF2	7.808933569009413	7.506915617721062	0
PRKCA	7.851228446555124	7.506877646837689	0
SRRM1	7.851228446555124	7.506877646837689	0
MED24	7.850619664303843	7.506281415815357	0
DUSP4	7.854601532250531	7.506115657948724	0
CDC42EP1	7.854421749917623	7.5059394249409666	0
SEC11A	7.850135722404844	7.505807451318884	0
VPS53	7.854211038302984	7.505732873268082	0
KLF6	7.850019519955598	7.505693644608906	0
NCKAP5	7.853359411134503	7.504898059218439	0
CASP1	7.84901387532247	7.504708733293814	0
RNF183	7.85298451182143	7.5045305612975906	0
RFC5	7.848671277283108	7.504373198578687	0
TPM4	7.851944954387048	7.503511527166516	0
RAPH1	7.847761499954137	7.503482178077012	0
ERICH1	7.8515172072081825	7.503092224720765	0
LMNB2	7.787306813022273	7.5021695720128925	0
MXI1	7.845883131443539	7.5016425357828505	0
SERPINC1	7.849147554217249	7.50076935424079	0
CETP	7.848765854402831	7.500395190076452	0
SRSF4	7.848304083070712	7.499942535194077	0
NOS2	7.843652111751082	7.49945751289613	0
SMC3	7.8436245301538845	7.499430499947149	0
RUNDC3A	7.8435787756851045	7.499385688795641	0
PFDN5	7.847572424211502	7.499225320997748	0
UPP2	7.843138139241239	7.498954136928204	0
PYROXD1	7.847070478846195	7.4987332852118795	0
NKAP	7.8464135043089405	7.498089280893726	0
ANKRD28	7.8464135043089405	7.498089280893726	0
NOMO3	7.8460045169170245	7.497688367872707	0
ZBTB37	7.845996241150953	7.497680255489678	0
FBXO46	7.841213979151523	7.497069647137299	0
GPATCH4	7.797305892238937	7.495483881203642	0
ATP5PD	7.839096590339931	7.494995912410055	0
GAL	7.843193486426375	7.49493283372065	0
ITGA8	7.84282516581762	7.494571784625058	0
LRRK2	7.842674089248496	7.494423690661944	0
QKI	7.8426100095442735	7.494360876041459	0
PRPF3	7.796143505893433	7.494341082457551	0
DARS	7.795798522546141	7.494001912492047	0
RPN2	7.795751943603959	7.493956118460719	0
PGD	7.837967723876956	7.493890319722554	0
RPL5	7.8379153404074735	7.493839016240074	0
TAX1BP3	7.842055573883541	7.493817386241776	0
KRT16	7.8376685519827705	7.493597315838246	0
EHMT2	7.794851106200754	7.493070461244601	0
MON2	7.836999269705326	7.492941832115338	0
CDH12	7.8410859332809055	7.492866888620115	0
SHC3	7.836898481879004	7.492843122225882	0
TSNAXIP1	7.84100444874644	7.49278701278158	0
RASA3	7.794296918496952	7.492525612266072	0
CABS1	7.836512180004004	7.492464784714603	0
CSK	7.8404854534183706	7.492278263639225	0
RPSAP18	7.8404508275952365	7.492244321411097	0
PPCS	7.869976205270944	7.491896266866425	0
INTS7	7.835764934238712	7.49173294487263	0
SPIN1	7.869482166073543	7.491413335333447	0
LCE3A	7.839250832147432	7.491068016689487	0
XPR1	7.83508225991331	7.491064345204853	0
ACLY	7.792801012631236	7.491054914202367	0
KIF2C	7.835058243455256	7.491040823892744	0
SUMO1P3	7.838590112968312	7.490420341657488	0
NOTCH2	7.834317394446204	7.4903152489254525	0
KRT17	7.834114658411109	7.490116692687629	0
HIST2H3C	7.833561970073226	7.48957539909368	0
ZNF587	7.837603806506391	7.489453507199713	0
RND3	7.8373275502229385	7.489182704863592	0
STAG1	7.832853540507542	7.488881575179942	0
MAGEA11	7.832426340891211	7.4884631831137325	0
NBEA	7.86629259557113	7.488295477114145	0
TBCEL	7.8363802636036155	7.488254119905153	0
GGT7	7.836090920645462	7.487970489256001	0
CDC14B	7.835912012869376	7.487795113539263	0
DCPS	7.831606814169008	7.487660552527212	0
PLCG2	7.835661329873894	7.487549379614395	0
CHCHD10	7.835629900385338	7.4875185706176985	0
DTD1	7.831451107795525	7.487508056343151	0
SEC24A	7.835265935041914	7.487161790804279	0
FANCA	7.831038672212849	7.487104123921356	0
GNB1	7.830985252958608	7.487051806008832	0
OPA3	7.835100776809863	7.4869998931833095	0
PDGFRA	7.830632156043499	7.48670598887268	0
UQCRQ	7.834105883043236	7.4860246409543745	0
CHMP4A	7.8340329559942505	7.485953153656476	0
FGF2	7.829767660849848	7.485859316927125	0
RPS2	7.829593904975951	7.485689143368169	0
P3H1	7.829322299452931	7.485423137520724	0
EWSR1	7.7870178243481325	7.485369179554931	0
RAB17	7.8632769950918036	7.4853476774861125	0
NR2F6	7.833313902097867	7.485248295571427	0
METTL3	7.786873060523109	7.485226855173408	0
SOWAHA	7.828814429562773	7.484925738355121	0
BCKDHA	7.786480112432791	7.4848405287281325	0
SPSB3	7.828715160484767	7.484828515902033	0
GTPBP3	7.786423262785518	7.484784637065373	0
APEX2	7.828232209381417	7.484355521774032	0
CFAP410	7.862179641902052	7.4842749964904876	0
AGRN	7.785404672049521	7.483783210800879	0
TYR	7.827384773331593	7.483525557264907	0
WDR7	7.785020890317729	7.483405896250032	0
PRKACB	7.82695380608623	7.48310347524666	0
DNMT1	7.826615648762157	7.482772289692847	0
LIPT1	7.826476389227411	7.482635901263985	0
PRKG1	7.830371534418731	7.482364017135196	0
KDM5B	7.783941599684544	7.482344792954177	0
HPS1	7.783941599684544	7.482344792954177	0
TOP2A	7.825873515624775	7.482045457072026	0
SEC23B	7.825829964907035	7.482002804236949	0
PTCH1	7.825762468193212	7.481936699099025	0
OAF	7.829843240173492	7.481846152658118	0
GFI1B	7.825559553674309	7.481737968057184	0
SNRPE	7.7826057608371295	7.481031464588174	0
GATA2	7.8247937691585285	7.480987971677083	0
RPS18P12	7.828266658693771	7.480300696596605	0
MYO5A	7.82395831018156	7.480169737310185	0
POP7	7.827724823327649	7.479769558332148	0
TGFBR3	7.827714132333608	7.4797590784034185	0
DNAJB1	7.823330297954229	7.479554672775122	0
PLOD3	7.781031163761259	7.479483401355272	0
PARP10	7.781031163761259	7.479483401355272	0
DLEU1	7.827142384600865	7.479198618312653	0
UPF2	7.779583682817097	7.478060312195305	0
IL18	7.779583682817097	7.478060312195305	0
SRP68	7.779583682817097	7.478060312195305	0
RTN2	7.8216123713273475	7.477872164543513	0
PLEKHA8	7.82556916256391	7.477656455370622	0
TRAPPC5	7.821270418785401	7.477537262017617	0
SUPT6H	7.825145508330203	7.477241165065687	0
PAAF1	7.820803213328998	7.477079688909458	0
IFNE	7.824888057500282	7.476988796919315	0
TUBD1	7.854551940160688	7.47681879116419	0
CFL1	7.8203883452416765	7.476673374133828	0
DENND5A	7.820359918096828	7.476645533069803	0
FBXO2	7.819923657036731	7.476218266379097	0
PPFIA1	7.853652940457646	7.475940004001104	0
MYO1A	7.823537643277626	7.4756650430424605	0
LAMP3	7.819323380793845	7.47563036599727	0
OSM	7.823499442925254	7.4756275968546895	0
NPHP1	7.823265146100717	7.4753979255992995	0
CDCA7	7.853082320230493	7.4753822132377445	0
PFKL	7.776703908405192	7.475229065424662	0
GALK1	7.776703908405192	7.475229065424662	0
BPIFB1	7.822973717232053	7.475112250220405	0
SLC15A1	7.822751110580998	7.4748940383470375	0
AKR1C3	7.8224567896388715	7.474605527990998	0
CEACAM1	7.822419381310745	7.474568858191056	0
PRB1	7.822386678195389	7.474536800711942	0
YAE1	7.822017662643886	7.474175070393403	0
IL16	7.817775884764251	7.474114774605045	0
CCNI	7.851782563760991	7.474111679669522	0
WDR86	7.77550616541433	7.474051505834952	0
TXN	7.775271502993511	7.473820797756434	0
FAM83H	7.775271502993511	7.473820797756434	0
ENPP1	7.821602070895864	7.473767683401765	0
WASHC2C	7.817356531385743	7.47370406701122	0
POLE4	7.82150599918666	7.473673508373555	0
KDELR2	7.817264501033453	7.4736139340434535	0
SUMO4	7.817255389497703	7.473605010359717	0
DNAJC8	7.8206288464533635	7.472813672693647	0
DBF4B	7.816336852943236	7.472705411220997	0
MSH6	7.773938456170586	7.47251021436597	0
MYO1C	7.816070724962121	7.472444769985289	0
GTF3C5	7.7738440122595405	7.4724173619477225	0
SMOC2	7.820125227259303	7.472319996124331	0
ZER1	7.815788180025757	7.472168050261761	0
PTK7	7.815708046789658	7.47208956912802	0
PSMD11	7.772831041121333	7.471421460584078	0
PYGL	7.8146099420958945	7.4710141039960885	0
EFHD2	7.814565447231213	7.470970526479494	0
SPDYA	7.848060980380666	7.470473770012913	0
E2F5	7.817988599331925	7.470225550246313	0
ICMT	7.817663252520213	7.469906626544162	0
DUSP9	7.8132815005926535	7.4697130508955425	0
SH3GLB2	7.813027057916802	7.469463854049825	0
ERG28	7.817007949526638	7.469264260769494	0
C11orf24	7.846505170752565	7.468952940223143	0
C5orf51	7.846483780854664	7.468932031242159	0
SGO1	7.816560993569541	7.468826128771872	0
PC	7.812194369112584	7.468648332743185	0
UTP18	7.812194369112584	7.468648332743185	0
YWHAB	7.811855489048933	7.468316439350477	0
PHLDA3	7.811695681258736	7.468159926308373	0
CSNK1E	7.815804955879933	7.468085017040467	0
TERF1	7.815370692028469	7.467659326576528	0
JPH4	7.811091061244158	7.467567771710147	0
CPPED1	7.84492139481814	7.467404772903768	0
KRT18	7.768386333843628	7.467051651937108	0
EIPR1	7.81471188868094	7.467013529553108	0
FANCD2	7.768182131678004	7.466850890822074	0
PUF60	7.810311487124744	7.466804270025884	0
PGLS	7.768085767453702	7.466756150450143	0
RNF187	7.8139978357536	7.466313573706237	0
SEMG1	7.809477145181647	7.465987129663036	0
BCAP31	7.767151985312357	7.465838103654104	0
URGCP	7.813215588499042	7.465546769848201	0
ASB2	7.813042549854482	7.465377147392558	0
UBXN8	7.808841664798774	7.4653647509429675	0
FYN	7.808837655113197	7.465360823924849	0
IER3	7.81289835974085	7.465235803930144	0
GMEB1	7.80864300073929	7.465170182729065	0
ATP1A3	7.8127757640439865	7.465115628560034	0
RAPGEF4	7.808536948026507	7.465066316499012	0
CRACR2B	7.842314499821086	7.4648564896827905	0
RPF1	7.7661071758632625	7.464810900493169	0
FLAD1	7.808165040662114	7.464702076727536	0
CDKN2C	7.808165040662114	7.464702076727536	0
PARP1	7.8079232379579935	7.464465259255974	0
RAB5C	7.811881412941685	7.464238934047285	0
METAP2	7.748533882568436	7.464001624022954	0
TBX1	7.841356263295041	7.463919797539914	0
ATP1A1	7.807161323397293	7.463719053044309	0
EFL1	7.811346024189607	7.463714115125582	0
CEP83	7.811251797702249	7.4636217488902075	0
MED8	7.806770437615961	7.463336226132833	0
